participant_id,condition,channel_set,epoch_index,alpha_power_8_12,n_channels
sub-026,EyesClosed,oz,2,-10.728808541545806,1
sub-026,EyesClosed,oz,3,-10.676789314314476,1
sub-026,EyesClosed,oz,4,-10.78960775771651,1
sub-026,EyesClosed,oz,5,-10.720614371361178,1
sub-026,EyesOpen,oz,0,-11.940003606433073,1
sub-026,EyesOpen,oz,1,-11.902871556782316,1
sub-026,EyesOpen,oz,2,-11.817886842710493,1
sub-026,EyesOpen,oz,3,-11.837524270354116,1
sub-026,EyesOpen,oz,4,-11.988702254016301,1
sub-026,EyesOpen,oz,5,-11.809986846446392,1
sub-027,EyesClosed,oz,0,-10.736588411269636,1
sub-027,EyesClosed,oz,1,-10.310471189768574,1
sub-027,EyesClosed,oz,2,-10.526598161126579,1
sub-027,EyesClosed,oz,3,-10.459149302941812,1
sub-027,EyesClosed,oz,4,-10.43350814258981,1
sub-027,EyesClosed,oz,5,-10.527076425111149,1
sub-027,EyesOpen,oz,0,-11.629432361890807,1
sub-027,EyesOpen,oz,1,-11.583001779616517,1
sub-027,EyesOpen,oz,2,-11.6457936898043,1
sub-027,EyesOpen,oz,3,-11.500208835445447,1
sub-027,EyesOpen,oz,4,-11.63686802827173,1
sub-027,EyesOpen,oz,5,-11.67123857268342,1
sub-028,EyesClosed,oz,0,-11.96166746610747,1
sub-028,EyesClosed,oz,1,-11.904937172390152,1
sub-028,EyesClosed,oz,2,-11.926092854089365,1
sub-028,EyesClosed,oz,3,-11.862478457844409,1
sub-028,EyesClosed,oz,4,-11.99258338243746,1
sub-028,EyesClosed,oz,5,-11.835914571219027,1
sub-028,EyesOpen,oz,0,-11.909105846511448,1
sub-028,EyesOpen,oz,1,-11.994139789859299,1
sub-028,EyesOpen,oz,2,-11.697580757118496,1
sub-028,EyesOpen,oz,3,-11.737984897470914,1
sub-028,EyesOpen,oz,4,-11.8494717122295,1
sub-028,EyesOpen,oz,5,-11.954932326135353,1
sub-029,EyesClosed,oz,0,-11.388433523911052,1
sub-029,EyesClosed,oz,1,-11.25158114415823,1
sub-029,EyesClosed,oz,2,-10.758581020578406,1
sub-029,EyesClosed,oz,3,-11.05478185021886,1
sub-029,EyesClosed,oz,4,-11.145225370182729,1
sub-029,EyesClosed,oz,5,-10.888649004521683,1
sub-029,EyesOpen,oz,0,-11.775059563161518,1
sub-029,EyesOpen,oz,1,-11.436910490627733,1
sub-029,EyesOpen,oz,2,-11.341894466489105,1
sub-029,EyesOpen,oz,3,-11.363822494469215,1
sub-029,EyesOpen,oz,4,-11.132866158750858,1
sub-029,EyesOpen,oz,5,-11.51284987416134,1
sub-030,EyesClosed,oz,0,-11.353521147429058,1
sub-030,EyesClosed,oz,1,-11.627789515534435,1
sub-030,EyesClosed,oz,2,-11.691740800209946,1
sub-030,EyesClosed,oz,3,-11.380728493740898,1
sub-030,EyesClosed,oz,4,-11.55836814894819,1
sub-030,EyesClosed,oz,5,-11.533156661225803,1
sub-030,EyesOpen,oz,0,-11.346870214885104,1
sub-030,EyesOpen,oz,1,-11.557853643347356,1
sub-030,EyesOpen,oz,2,-11.401419406226765,1
sub-030,EyesOpen,oz,3,-11.458054096460307,1
sub-030,EyesOpen,oz,4,-11.5099382461739,1
sub-030,EyesOpen,oz,5,-11.488857954709436,1
sub-031,EyesClosed,oz,0,-10.111346683181642,1
sub-031,EyesClosed,oz,1,-10.067591334737987,1
sub-031,EyesClosed,oz,2,-10.152637342635783,1
sub-031,EyesClosed,oz,3,-10.208834006511612,1
sub-031,EyesClosed,oz,4,-10.08200491987498,1
sub-031,EyesClosed,oz,5,-10.115961381251408,1
sub-031,EyesOpen,oz,0,-11.407264950681144,1
sub-031,EyesOpen,oz,1,-10.994658448162017,1
sub-031,EyesOpen,oz,2,-10.978543562205875,1
sub-031,EyesOpen,oz,3,-11.040534295544859,1
sub-031,EyesOpen,oz,4,-11.401722805992527,1
sub-031,EyesOpen,oz,5,-11.019526600073634,1
sub-032,EyesClosed,oz,0,-10.397848442703888,1
sub-032,EyesClosed,oz,1,-10.374455704122663,1
sub-032,EyesClosed,oz,2,-10.344958324475643,1
sub-032,EyesClosed,oz,3,-10.252055900134772,1
sub-032,EyesClosed,oz,4,-10.388182521246465,1
sub-032,EyesClosed,oz,5,-10.363816360488459,1
sub-032,EyesOpen,oz,0,-10.944170353484106,1
sub-032,EyesOpen,oz,1,-10.922111730491807,1
sub-032,EyesOpen,oz,2,-10.664444740480066,1
sub-032,EyesOpen,oz,3,-10.718869086311287,1
sub-032,EyesOpen,oz,4,-10.979245308708412,1
sub-032,EyesOpen,oz,5,-10.731823519146605,1
sub-033,EyesClosed,oz,0,-9.713681648792837,1
sub-033,EyesClosed,oz,1,-9.53235681901766,1
sub-033,EyesClosed,oz,2,-9.61769504215929,1
sub-033,EyesClosed,oz,3,-9.629045587711639,1
sub-033,EyesClosed,oz,4,-9.714856495965254,1
